case,path,elapsedMs,value,canonicalValue,unit
baseline,core.powerMw,195000,2706.8507449141666,2706.8507449141666,MW
baseline,core.powerMw,196000,2706.8511357019906,2706.8511357019906,MW
baseline,core.powerMw,197000,2706.8515331144463,2706.8515331144463,MW
baseline,core.powerMw,198000,2706.8519367804865,2706.8519367804865,MW
baseline,core.powerMw,199000,2706.852346348211,2706.852346348211,MW
baseline,core.powerMw,200000,2706.8527614838795,2706.8527614838795,MW
baseline,core.powerMw,201000,2706.853181870977,2706.853181870977,MW
baseline,core.powerMw,202000,2706.8536072093248,2706.8536072093248,MW
baseline,core.powerMw,203000,2706.85403721424,2706.85403721424,MW
baseline,core.powerMw,204000,2706.8544716157385,2706.8544716157385,MW
baseline,core.powerMw,205000,2706.854910157775,2706.854910157775,MW
baseline,core.powerMw,206000,2706.8553525975267,2706.8553525975267,MW
baseline,core.powerMw,207000,2706.8557987047134,2706.8557987047134,MW
baseline,core.powerMw,208000,2706.8562482609473,2706.8562482609473,MW
baseline,core.powerMw,209000,2706.856701059125,2706.856701059125,MW
baseline,core.powerMw,210000,2706.8571569028436,2706.8571569028436,MW
baseline,core.powerMw,211000,2706.85761560585,2706.85761560585,MW
baseline,core.powerMw,212000,2706.8580769915156,2706.8580769915156,MW
baseline,core.powerMw,213000,2706.8585408923473,2706.8585408923473,MW
baseline,core.powerMw,214000,2706.8590071495087,2706.8590071495087,MW
baseline,core.powerMw,215000,2706.85947561238,2706.85947561238,MW
baseline,core.powerMw,216000,2706.859946138131,2706.859946138131,MW
baseline,core.powerMw,217000,2706.860418591323,2706.860418591323,MW
baseline,core.powerMw,218000,2706.860892843525,2706.860892843525,MW
baseline,core.powerMw,219000,2706.8613687729558,2706.8613687729558,MW
baseline,core.powerMw,220000,2706.8618462641375,2706.8618462641375,MW
baseline,core.powerMw,221000,2706.862325207575,2706.862325207575,MW
baseline,core.powerMw,222000,2706.8628054994447,2706.8628054994447,MW
baseline,core.powerMw,223000,2706.8632870413035,2706.8632870413035,MW
baseline,core.powerMw,224000,2706.8637697398126,2706.8637697398126,MW
baseline,core.powerMw,225000,2706.864253506471,2706.864253506471,MW
baseline,core.powerMw,226000,2706.8647382573713,2706.8647382573713,MW
baseline,core.powerMw,227000,2706.865223912959,2706.865223912959,MW
baseline,core.powerMw,228000,2706.8657103978107,2706.8657103978107,MW
baseline,core.powerMw,229000,2706.8661976404182,2706.8661976404182,MW
baseline,core.powerMw,230000,2706.866685572992,2706.866685572992,MW
baseline,core.powerMw,231000,2706.8671741312637,2706.8671741312637,MW
