systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-4,285,2706.89,63.47,789.54
unit-4,290,2706.90,61.48,789.54
unit-4,295,2706.90,59.47,789.54
unit-4,300,2706.90,57.45,789.54
unit-5,0,2890.00,55.00,935.00
unit-5,5,2825.02,57.53,731.90
unit-5,10,2784.29,59.53,718.33
unit-5,15,2759.33,61.22,754.99
unit-5,20,2743.44,62.80,777.27
unit-5,25,2732.98,64.33,785.27
unit-5,30,2725.85,65.82,788.11
unit-5,35,2720.87,67.29,789.10
unit-5,40,2717.30,68.73,789.43
unit-5,45,2714.70,70.17,789.53
unit-5,50,2712.77,71.60,789.55
unit-5,55,2711.34,73.02,789.55
unit-5,60,2710.25,74.43,789.55
unit-5,65,2709.44,75.83,789.55
unit-5,70,2708.81,77.23,789.54
unit-5,75,2708.34,78.63,789.54
unit-5,80,2707.98,80.03,789.54
unit-5,85,2707.70,81.42,789.54
unit-5,90,2707.49,82.99,688.95
unit-5,95,2707.33,85.31,392.53
unit-5,100,2707.21,87.63,284.58
unit-5,105,2707.12,89.95,245.27
unit-5,110,2707.04,92.28,230.95
unit-5,115,2706.99,94.61,225.74
unit-5,120,2706.95,96.94,223.84
unit-5,125,2706.92,99.28,223.15
unit-5,130,2706.90,100.00,222.89
unit-5,135,2706.88,100.00,222.80
unit-5,140,2706.87,100.00,222.77
unit-5,145,2706.86,100.00,222.76
unit-5,150,2706.85,100.00,222.75
unit-5,155,2706.85,100.00,222.75
unit-5,160,2706.85,100.00,222.75
unit-5,165,2706.85,100.00,222.75
unit-5,170,2706.84,100.00,222.75
unit-5,175,2706.85,100.00,222.75
unit-5,180,2706.85,100.00,222.75
unit-5,185,2706.85,100.00,222.75
unit-5,190,2706.85,100.00,222.75
unit-5,195,2706.85,100.00,222.75
unit-5,200,2706.85,100.00,222.75
unit-5,205,2706.85,100.00,222.75
unit-5,210,2706.86,100.00,222.75
unit-5,215,2706.86,100.00,222.75
unit-5,220,2706.86,100.00,222.75
unit-5,225,2706.86,100.00,222.75
unit-5,230,2706.87,100.00,222.75
unit-5,235,2706.87,100.00,222.75
unit-5,240,2706.87,100.00,222.75
unit-5,245,2706.87,100.00,222.75
unit-5,250,2706.88,100.00,222.75
unit-5,255,2706.88,100.00,222.75
unit-5,260,2706.88,100.00,222.75
unit-5,265,2706.88,100.00,222.75
unit-5,270,2706.89,100.00,222.75
unit-5,275,2706.89,100.00,222.75
unit-5,280,2706.89,100.00,222.75
unit-5,285,2706.89,100.00,222.75
unit-5,290,2706.90,100.00,222.75
unit-5,295,2706.90,100.00,222.75
unit-5,300,2706.90,100.00,222.75
unit-6,0,2890.00,55.00,935.00
unit-6,5,2825.02,57.53,731.90
unit-6,10,2784.29,59.53,718.33
unit-6,15,2759.33,61.22,754.99
unit-6,20,2743.44,62.80,777.27
unit-6,25,2732.98,64.33,785.27
unit-6,30,2725.85,65.82,788.11
unit-6,35,2720.87,67.29,789.10
unit-6,40,2717.30,68.73,789.43
unit-6,45,2714.70,70.17,789.53
unit-6,50,2712.77,71.60,789.55
unit-6,55,2711.34,73.02,789.55
unit-6,60,2710.25,74.43,789.55
unit-6,65,2709.44,75.83,789.55
unit-6,70,2708.81,77.23,789.54
unit-6,75,2708.34,78.63,789.54
unit-6,80,2707.98,80.03,789.54
unit-6,85,2707.70,81.42,789.54
unit-6,90,2707.49,82.82,789.54
unit-6,95,2707.33,84.21,789.54
unit-6,100,2707.21,85.61,789.54
unit-6,105,2707.12,87.01,789.54
unit-6,110,2707.04,88.41,789.54
unit-6,115,2706.99,89.82,789.54
unit-6,120,2706.95,91.23,789.54
unit-6,125,2706.92,92.64,789.54
unit-6,130,2706.90,94.06,789.54
unit-6,135,2706.88,95.48,789.54
unit-6,140,2706.87,96.90,789.54
unit-6,145,2706.86,98.32,789.54
unit-6,150,2706.85,99.74,789.54
unit-6,155,2706.85,100.00,789.54
unit-6,160,2706.85,100.00,789.54
unit-6,165,2706.85,100.00,789.54
unit-6,170,2706.84,100.00,786.43
unit-6,175,2706.85,100.00,761.24
unit-6,180,2706.85,100.00,729.23
unit-6,185,2706.85,100.00,699.81
unit-6,190,2706.85,100.00,675.66
unit-6,195,2706.85,100.00,656.69
unit-6,200,2706.85,100.00,642.09
unit-6,205,2706.85,100.00,630.95
unit-6,210,2706.86,100.00,622.48
unit-6,215,2706.86,100.00,616.06
unit-6,220,2706.86,100.00,611.20
unit-6,225,2706.86,100.00,607.52
unit-6,230,2706.87,100.00,604.74
unit-6,235,2706.87,100.00,602.63
unit-6,240,2706.87,100.00,601.03
unit-6,245,2706.87,100.00,599.82
unit-6,250,2706.88,100.00,598.91
unit-6,255,2706.88,100.00,598.22
unit-6,260,2706.88,100.00,597.69
unit-6,265,2706.88,100.00,597.30
unit-6,270,2706.89,100.00,597.00
unit-6,275,2706.89,100.00,596.77
unit-6,280,2706.89,100.00,596.60
unit-6,285,2706.89,100.00,596.47
unit-6,290,2706.90,99.77,596.37
unit-6,295,2706.90,99.48,596.29
unit-6,300,2706.90,99.19,596.24
